name,links,
Melvin Felton,https://sandersroberts.com/team/melvin-felton-2/,   
Aden Allen,https://www.wsgr.com/en/people/aden-m-allen.html,
Helen Ogbara Reeves,https://www.dentons.com/en/helen-reeves,
Christine Okike,https://www.skadden.com/professionals/o/okike-christine-a,
Jeohn Salone Favors,https://www.wlrk.com/attorney/jjfavors/,
Melissa Hazell Davis,https://griesinglaw.com/melissa-hazell-davis/,
Andrew LeGrand,https://www.gibsondunn.com/lawyer/legrand-andrew/,
LaRue Robinson,https://www.willkie.com/professionals/r/robinson-larue,
Roy Austin,https://www.hwglaw.com/team/roy-l-austin-jr/,
"Oroma Mpi-reynolds, Esq.",https://www.msrlegal.org/about-oroma,
Kirsten Jackson,https://www.kasowitz.com/people/kirsten-c-jackson,
Marcus Barber,https://www.kasowitz.com/people/marcus-a-barber,
Danielle Reyes,https://www.goodwinlaw.com/professionals/r/reyes-danielle,
Randall Clark,https://www.linkedin.com/in/randall-clark-52062ab/,
Antonio J. Reynolds,https://www.wiley.law/people-AntonioReynolds,
Shannon McNeal,https://www.dwt.com/people/m/mcneal-shannon-l,
Christin Hill,https://www.mofo.com/people/christin-hill.html,
Justin Pierce,https://www.venable.com/professionals/p/justin-e-pierce,
David Campbell,https://www.witan.law/team/dcampbell,
Anthony Mulrain,www.mintz.com,
Allison Cooper,https://www.fenwick.com/people/allison-cooper,
Earl Mah ,https://www.fenwick.com/people/earl-w-mah,
Dargaye Churnet,https://www.fenwick.com/people/dargaye-churnet,
Kia Myers Holsey,http://rtgrlaw.com/lawyers/,
Shamika Mazyck,https://www.quarles.com/shamika-l-mazyck/,
Steven Hunter,https://www.quarles.com/steven-v-hunter/,
Martin Childs,https://www.quarles.com/martin-childs-iv/,
Jasmine Horton,http://www.sanchez-amador.com/horton.php,
David Sykes,https://www.chapman.com/attorneys-David_Sykes.html,
Tim Reed,https://www.fordharrison.com/timreed,
Brian Patterson,https://www.gunder.com/brian-c-patterson/,
Catherine Dargan,https://www.cov.com/en/professionals/d/catherine-dargan,
Jen Johnson,https://www.cov.com/en/professionals/j/jennifer-johnson,
Stacey Grigsby,https://www.cov.com/en/professionals/g/stacey-grigsby,
Aaron Lewis,https://www.cov.com/en/professionals/l/aaron-lewis,
Lisa Peets,https://www.cov.com/en/professionals/p/lisa-peets,
Simone Ross,https://www.cov.com/en/professionals/r/simone-ross,
Amy Wollensack,https://www.cov.com/en/professionals/w/amy-wollensack,
Jessica Lee,https://www.loeb.com/en/people/l/lee-jessica-b,
Konata Lake,https://www.torys.com/people/lake-konata-t,
Kendra Norwood,https://www.wiley.law/people-KendraNorwood,
Jared Foley,https://www.gdblaw.com/,